founder_id,gender,age,education_level,alma_mater,field_of_study,prior_work_experience,is_first_generation,startup_id,industry_sector,city,state,funding_amount,funding_rounds,jobs_created,is_unicorn,investor_count,has_female_investor,founding_year,mentorship_access,policy_support
F00001,Male,23,Bachelor’s,None,Engineering,24,No,S00216,Software,Bengaluru,Other,26197963.75804929,9,2990,No,17,No,2005,No,No
F00002,Prefer not to say,22,Bachelor’s,Other,Engineering,13,Yes,S08268,Software,Other,Maharashtra,3219717.5850595026,5,65,No,14,No,2018,Yes,Yes
F00003,Prefer not to say,28,High School,Other,Business,1,Yes,S07952,Software,Bengaluru,Other,287109.33808507124,0,341,No,0,No,2020,No,No
F00004,Male,23,Master’s,Other,Computer Science,5,Yes,S00991,Software,Other,Maharashtra,8365826.215924846,4,48,No,8,No,2022,Yes,No
F00005,Male,28,Bachelor’s,IIT Roorkee,Business,18,Yes,S07446,Other,Bengaluru,Other,619607.7274239637,2,57,No,0,No,2024,No,No
F00006,Male,29,Bachelor’s,Other,Other,2,Yes,S03544,Other,Bengaluru,Other,27598.885752181508,0,410,No,5,No,2014,No,No
F00007,Male,59,Master’s,IIT Roorkee,Business,1,No,S01655,Healthcare,Mumbai,Karnataka,2821518.6979448143,3,751,No,10,No,2017,No,No
F00008,Prefer not to say,23,Bachelor’s,Other,Engineering,17,No,S00986,Other,Mumbai,Karnataka,152175.1658362256,1,29,No,3,Yes,2017,No,Yes
F00009,Female,53,PhD,Other,Computer Science,1,Yes,S06025,Software,Other,Other,500000000,8,91,Yes,49,No,2010,No,No
F00010,Non-binary,28,Bachelor’s,None,Other,4,Yes,S08034,Financial Services,Gurugram,Maharashtra,24534504.49897644,8,178,No,18,No,2003,Yes,Yes
F00011,Male,33,Other,Other,Arts,1,Yes,S07653,Healthcare,Gurugram,Delhi,20216155.981733568,7,34,No,16,No,2010,Yes,No
F00012,Prefer not to say,30,Bachelor’s,Other,Computer Science,25,Yes,S05672,Financial Services,Bengaluru,Other,3496582.755132246,5,36,No,12,No,2010,Yes,No
F00013,Prefer not to say,25,Bachelor’s,IIT Roorkee,Computer Science,2,Yes,S00729,Software,Other,Delhi,4416574.257197575,3,4466,No,15,Yes,2013,No,No
F00014,Male,43,Bachelor’s,Other,Computer Science,11,Yes,S06226,Consumer Goods,Bengaluru,Other,4354470.407076582,5,66,No,10,No,2017,Yes,No
F00015,Male,22,Master’s,Other,Computer Science,29,Yes,S01936,Software,Other,Delhi,4072792.507,4,2765,No,10,No,2013,No,Yes
F00016,Male,23,Bachelor’s,IIT Delhi,Business,0,Yes,S04284,Software,Other,Karnataka,2637488.2089673486,3,74,No,9,No,2009,No,No
F00017,Male,27,Bachelor’s,Other,Business,13,Yes,S02972,Financial Services,Bengaluru,Karnataka,7923591.721982169,5,7,No,7,No,2023,No,No
F00018,Male,28,PhD,Other,Other,4,No,S00663,Financial Services,Gurugram,Maharashtra,213597.98692673023,2,30,No,2,No,2003,Yes,No
F00019,Male,27,Bachelor’s,Other,Engineering,4,Yes,S03930,Software,Mumbai,Other,337144.28122123354,2,47,No,0,No,2017,No,No
F00020,Male,49,Master’s,Other,Arts,29,Yes,S06962,Software,Mumbai,Other,4395064.549771253,5,79,No,8,No,2013,No,No
F00021,Female,30,Master’s,IIT Roorkee,Computer Science,27,Yes,S06787,Consumer Goods,Bengaluru,Other,736852.3514493251,1,100,No,2,Yes,2015,Yes,No
F00022,Male,23,Bachelor’s,Other,Business,10,Yes,S03943,Other,Other,Other,400659.53937060136,2,73,No,3,Yes,2018,No,No
F00023,Male,28,Master’s,Other,Engineering,0,No,S07970,Healthcare,Mumbai,Other,180862.5843494386,0,64,No,5,No,2020,Yes,Yes
F00024,Male,22,Bachelor’s,IIT Delhi,Arts,4,Yes,S05462,Other,Bengaluru,Maharashtra,1852488.3727849114,5,256,No,7,No,2016,Yes,Yes
F00025,Male,26,Bachelor’s,Other,Business,5,Yes,S02861,Software,Bengaluru,Other,368479.60430330725,1,4413,No,5,No,2003,No,Yes
F00026,Prefer not to say,18,Bachelor’s,Other,Computer Science,21,Yes,S05992,Healthcare,Mumbai,Karnataka,11162166.14058605,8,73,No,16,No,2022,Yes,Yes
F00027,Male,25,Master’s,Other,Other,2,No,S03412,Consumer Goods,Other,Other,1128234.3845866052,5,32,No,15,Yes,2001,No,No
F00028,Male,50,Bachelor’s,Other,Arts,11,No,S06949,Consumer Goods,Gurugram,Maharashtra,12158284.612195427,9,421,No,39,Yes,2022,Yes,No
F00029,Male,22,Bachelor’s,BITS Pilani,Engineering,4,Yes,S01954,Software,Bengaluru,Other,2769887.840089534,5,22,No,14,No,2002,No,No
F00030,Male,26,Master’s,BITS Pilani,Arts,3,Yes,S07248,Healthcare,Bengaluru,Maharashtra,1069359.6818081683,3,164,No,12,No,2023,No,No
F00031,Female,26,Bachelor’s,IIT Delhi,Other,25,Yes,S05781,Financial Services,Other,Other,5675148.509334073,4,26,No,11,No,2020,Yes,Yes
F00032,Male,34,PhD,Other,Other,0,No,S05821,Consumer Goods,Other,Karnataka,33681455.005214736,6,88,No,26,Yes,2014,No,No
F00033,Male,30,Bachelor’s,Other,Business,1,No,S06634,Other,Bengaluru,Other,4980617.625162372,4,397,No,12,No,2006,Yes,No
F00034,Prefer not to say,23,Bachelor’s,Other,Business,1,No,S00029,Other,Gurugram,Other,87326992.53054795,10,83,Yes,30,No,2025,No,Yes
F00035,Prefer not to say,27,Master’s,Other,Computer Science,1,Yes,S07865,Financial Services,Other,Maharashtra,3177960.003281299,3,17,No,6,No,2022,No,No
F00036,Prefer not to say,26,Bachelor’s,BITS Pilani,Computer Science,2,Yes,S05924,Software,Other,Karnataka,1899561.7497183096,4,28,No,9,No,2021,Yes,No
